segment,model,trajectory_length,overall_score,ade,fde,miss_rate,se,ac,pred_points,gt_points
sample_083_custom_segment_075_377,anycam,0.42195695638656616,0.049915667645708234,1.6771447997853677,3.9340320949150693,61.386138613861384,3.6073529707012175e-14,1.0,242,303
sample_087_custom_segment_057_358,anycam,0.4777168035507202,0.05183472589487804,1.6366121130245979,3.8938964057154584,59.93377483443708,6.762095755624973e-14,1.0,242,302
sample_090_custom_segment_053_354,anycam,0.5815623998641968,0.051797099132384304,1.6201354579220053,3.8311782670562677,60.264900662251655,1.7820286047963645e-13,1.0,242,302
